,xyz_vaccine,seasonal_vaccine
0,4.451408898605122e-16,1.0707385643798013e-15
1,1.962017872604754e-21,1.1942462356879479e-20
2,7.244111634755124e-18,7.78693269910039e-18
3,2.9166676606111e-13,1.492816931302967e-13
4,1.394102272649396e-13,2.2725672196752759e-13
5,9.289201597007788e-16,3.448221040928853e-15
6,1.1396560594163711e-21,6.663160712172052e-22
7,3.281419142966766e-16,1.0590950428054526e-15
8,3.986207515082798e-14,1.2794798029886717e-13
9,1.653921282489226e-12,3.6777704923639737e-13
10,1.9056155709547133e-17,6.7161606965000574e-18
11,3.770639226028956e-15,1.2144140633655659e-14
12,5.112973082399952e-17,1.0682920625458041e-16
13,1.4904534458587818e-15,1.1972378245709682e-15
14,7.139532184911565e-15,1.648607882512694e-14
15,4.570930271846496e-19,7.439593809858851e-19
16,2.0210642628935212e-13,9.271747584003825e-13
17,1.02744542321394e-14,3.9926235447465126e-14
18,3.2255053030441854e-13,3.103076836746074e-13
19,1.4061241925018447e-16,1.4588738299302711e-16
20,1.6388991690143002e-20,5.565042618942929e-20
21,7.732436395990907e-15,2.1181702116711046e-15
22,1.3167989078865449e-14,4.990000039446257e-14
23,7.411059983419543e-14,1.4001942054728905e-14
24,2.680505584715437e-15,1.2200847683605028e-14
25,7.520715794302614e-19,2.651757017863825e-18
26,1.1551467379621134e-17,6.851002980269103e-17
27,1.3138328170953164e-23,1.0289378091910744e-23
28,1.973316058024317e-13,4.1096943505454845e-13
29,4.953061743626772e-16,1.9271886360110332e-15
30,1.8806796143405746e-14,4.147609558916864e-14
31,5.431792578006144e-16,5.689795070510361e-16
32,1.1781940197738829e-14,2.0691335218259767e-14
33,3.723049953801487e-15,1.3486660970469907e-14
34,1.7301342749386706e-15,5.053999072934519e-15
35,4.666815495316217e-20,2.142058097125785e-19
36,7.073085774538167e-18,2.0207154147785266e-17
37,6.256716222243656e-18,1.4731734841628904e-17
38,6.674734381098373e-18,9.673221618940792e-18
39,3.075773934989549e-17,8.400440456578606e-17
40,1.4332776843080754e-19,5.374029211691666e-19
41,9.99074830650428e-15,1.9333814360247588e-14
42,1.4251769883450478e-17,4.36240532383137e-17
43,8.849820781195755e-18,1.4512389968182003e-17
44,7.331658285753472e-19,4.353164589955734e-19
45,1.651553541938861e-19,5.852098215759791e-19
46,4.2624705377724737e-19,2.6796727918234984e-18
47,4.668515245942209e-15,9.40014719290439e-15
48,3.0844693660782405e-20,5.995909572451759e-20
49,1.171579545482143e-19,1.8466865784339147e-19
50,6.043933220938424e-18,3.81423010148811e-17
51,5.846262759981563e-14,1.1602505287745872e-14
52,3.497891391976097e-13,3.137090927193552e-13
53,1.2520348854760915e-14,5.3052464698588507e-14
54,5.639157724725908e-15,5.556864184593052e-15
55,5.990947737098832e-16,2.397750226655575e-15
56,2.4161211398523184e-18,1.8877773550085028e-17
57,3.1883906503468633e-22,5.832353654802638e-23
58,1.0977512979190489e-17,2.3685883307364735e-16
59,2.3355292472919432e-20,3.287105543814965e-20
60,6.393238327342473e-18,1.2540801378843299e-17
61,1.2346729313411817e-15,3.8390012372776805e-15
62,3.155639828043751e-11,1.3753724517808692e-11
63,2.5412426890365164e-12,1.0180633181701972e-12
64,7.910620295382465e-14,2.730863899345579e-13
65,7.442000169546866e-18,5.0896328734943205e-18
66,4.254203929960016e-15,7.749652636695423e-15
67,2.5258582276277548e-16,1.5456999513672337e-16
68,9.477803743438124e-14,3.1066174089104136e-13
69,5.1255997871624705e-17,1.7712063943779857e-16
70,8.08671301391426e-20,1.1634997312163815e-19
71,2.026842547902845e-17,7.441256016415988e-17
72,3.252611324233534e-17,1.6377949617387084e-16
73,1.3146743445827247e-15,3.653731367549072e-15
74,1.3056932650447752e-12,2.8026531306848175e-12
75,9.801376760722222e-20,2.785267343627377e-19
76,4.505593101927466e-15,5.263329195741222e-16
77,8.985042123653129e-14,7.10075649967025e-14
78,1.2972243661461875e-14,1.3787503471507043e-14
79,1.2602178500623776e-17,1.689366210897963e-17
80,7.636524792811649e-20,2.736252703967572e-19
81,2.959322847261119e-14,3.3858962658647294e-14
82,5.5556147424532844e-18,1.597066493328092e-17
83,3.674695196991015e-12,4.331680679847113e-12
84,2.2722006969827247e-19,3.6948353448653316e-19
85,4.871751796754263e-17,1.6120971346698011e-16
86,3.169427776200545e-17,1.0634210432739848e-16
87,2.377101686810444e-16,8.012398482710575e-16
88,9.860182289621355e-16,4.4407233576616445e-16
89,1.6131279773755907e-14,1.7565563640605033e-14
90,9.411435367448833e-21,1.2031169042522775e-19
91,1.4498454453891343e-15,9.613800971811436e-15
92,1.1712838305967023e-17,3.60998377614987e-17
93,5.505494911313846e-15,2.3362004306290348e-14
94,3.9208547229024387e-13,3.803762330740941e-13
95,2.4067709614947077e-19,1.562344727423736e-18
96,2.231757305851711e-21,1.316320675735271e-20
97,3.0612139286439776e-14,1.1934884406659586e-13
98,2.678305527283074e-19,5.602500612774866e-20
99,9.258321490444702e-16,2.4960891427603727e-15
100,9.097171523572353e-16,2.4329682807639283e-15
101,9.887234555671014e-18,3.6444869801806344e-17
102,6.861589146335969e-17,2.7595096108744526e-17
103,5.322083016927728e-16,1.368286266474187e-15
104,4.908255855151799e-20,1.8847572633730948e-19
105,6.119821749367015e-15,9.926760447510615e-15
106,2.100224827525299e-21,7.51368791951504e-21
107,1.186281054475147e-17,8.643295869953916e-17
108,1.5464095214547258e-16,8.148421426088599e-16
109,2.3744875442027033e-16,5.122742021191418e-16
110,6.921125617169715e-15,3.314474432406018e-14
111,1.8630820325387738e-16,8.012645157977463e-17
112,1.5708023563247456e-19,7.840426554690947e-19
113,5.654690208940827e-24,2.681687177674287e-23
114,1.786010580588106e-20,6.444054648654272e-20
115,7.247133730744112e-20,1.723292493563725e-19
116,9.443989182555305e-16,2.4906650522030735e-15
117,8.059360418185558e-18,2.2678825065356145e-17
118,3.610684542888092e-12,1.4273153956621086e-12
119,2.6969301512115592e-15,4.486086753412901e-16
120,9.605712221731392e-16,4.1154769104888457e-16
121,1.541556628794857e-14,2.2901120905426832e-14
122,1.8937310956116696e-21,1.3183810074168441e-21
123,3.4198498885226215e-15,3.1468657118159215e-14
124,3.122260866850632e-18,2.7356552887239656e-17
